,LEA,SCHNAME,PTAC5EM_PTQ,PTEBACC_PTQ,PTAC5EMFSM_PTQ,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ
0,Camden (202),Acland Burghley School,0.57,0.34,0.43,0.65,0.59
1,Camden (202),The Camden School for Girls,0.76,0.5,0.63,0.8,0.78
2,Camden (202),Hampstead School,0.53,0.27,0.47,0.6,0.78
3,Camden (202),Haverstock School,0.54,0.1,0.53,0.8,0.67
4,Camden (202),La Sainte Union Catholic Secondary School,0.81,0.38,0.78,0.92,0.76
5,Camden (202),Maria Fidelis Roman Catholic Convent School FCJ,0.61,0.16,0.54,0.77,0.75
6,Camden (202),Parliament Hill School,0.67,0.32,0.61,0.82,0.69
7,Camden (202),Regent High School,0.49,0.08,0.51,0.74,0.69
8,Camden (202),The UCL Academy,,,,,
9,Camden (202),William Ellis School,0.66,0.41,0.54,0.84,0.7
10,Greenwich (203),Blackheath Bluecoat Church of England School,0.62,0.14,0.55,0.84,0.76
11,Greenwich (203),Corelli College,0.47,0.12,0.45,0.85,0.66
12,Greenwich (203),Crown Woods College,0.65,0.28,0.54,0.82,0.65
13,Greenwich (203),Eltham Hill School,0.44,0.19,0.31,0.79,0.56
14,Greenwich (203),The Greenwich Free School,,,,,
15,Greenwich (203),Harris Academy Greenwich,0.7,0.17,0.63,0.91,0.77
16,Greenwich (203),The John Roan School,0.51,0.25,0.4,0.63,0.59
17,Greenwich (203),Plumstead Manor School,0.56,0.25,0.54,0.75,0.61
18,Greenwich (203),St Paul's Academy,0.62,0.2,0.49,0.83,0.63
19,Greenwich (203),St Thomas More Roman Catholic Comprehensive School,0.83,0.45,0.69,0.92,0.9
20,Greenwich (203),St Ursula's Convent School,0.86,0.65,0.8,0.95,0.96
21,Greenwich (203),Thomas Tallis School,0.53,0.21,0.42,0.79,0.53
22,Greenwich (203),"University Technical College, Royal Borough of Greenwich",,,,,
23,Greenwich (203),Woolwich Polytechnic School for Boys,0.69,0.35,0.64,0.88,0.8
24,Hackney (204),The Bridge Academy,0.48,0.3,0.38,0.72,0.65
25,Hackney (204),Cardinal Pole Roman Catholic School,0.55,0.15,0.56,0.65,0.79
26,Hackney (204),"The City Academy, Hackney",0.81,0.65,0.76,0.97,0.92
27,Hackney (204),Clapton Girls' Academy,0.75,0.45,0.68,0.89,0.84
28,Hackney (204),Hackney New School,,,,,
29,Hackney (204),Hackney University Technical College,0.29,0.12,0.21,0.64,0.49
30,Hackney (204),Haggerston School,0.46,0.14,0.48,0.59,0.7
31,Hackney (204),Lubavitch House School (Senior Girls),0.68,0.0,,0.83,0.89
32,Hackney (204),Mossbourne Community Academy,0.87,0.61,0.81,0.96,0.95
33,Hackney (204),Our Lady's Convent Roman Catholic High School,0.56,0.35,0.5,0.83,0.64
34,Hackney (204),The Petchey Academy,0.55,0.19,0.54,0.73,0.76
35,Hackney (204),Skinners' Academy,,,,,
36,Hackney (204),Stoke Newington School and Sixth Form,0.55,0.29,0.35,0.7,0.75
37,Hackney (204),The Urswick School - A Church of England Secondary School,0.38,0.27,0.37,0.76,0.58
38,Hackney (204),Yesodey Hatorah Senior Girls School,0.63,0.5,,0.68,0.89
39,Hammersmith and Fulham (205),Burlington Danes Academy,0.79,0.45,0.75,0.87,0.92
