RECTYPE,LEA,URN,SCHNAME,PCODE,TPUP,KS2APS,TPRIORLO,TPRIORAV,TPRIORHI,TFSMCLA,PTFSMCLA,TNOTFSMCLA,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ,PT24ENGPRGLO_PTQ,PT24ENGPRGAV_PTQ,PT24ENGPRGHI_PTQ,PT24MATHPRGLO_PTQ,PT24MATHPRGAV_PTQ,PT24MATHPRGHI_PTQ,PTAC5EM_PTQ,PTAC5EMLO_PTQ,PTAC5EMAV_PTQ,PTAC5EMHI_PTQ,TEBACC_E_PTQ,PTEBACC_PTQ,PTEBACENG_PTQ,PTEBACMAT_PTQ,B8VAMEA_PTQ,B8VAMEA_LO_PTQ,B8VAMEA_AV_PTQ,B8VAMEA_HI_PTQ,TAC5EMFSM_PTQ,PTAC5EMFSM_PTQ,TAC5EMNFSM_PTQ,PTAC5EMNFSM_PTQ,TEBACC_ELO_PTQ,TEBACC_EAV_PTQ,TEBACC_EHI_PTQ,PTEBACC_EFSM_PTQ,PTEBACC_ENFSM_PTQ,PTEBACCLO_PTQ,PTEBACCAV_PTQ,PTEBACCHI_PTQ,PTEBACC_FSM_PTQ,PTEBACC_NFSM_PTQ,B8VAMEA_FSM_PTQ,B8VAMEA_NFSM_PTQ,TTAPSPEPP_PTQ,TrustSchoolFlag (name),Trusts (name),TypeOfEstablishment (name),LEA_NAME,REGION,PTAC5EM_PTQ_weighted,PTAC5EMFSM_PTQ_weighted,PTAC5EMNFSM_PTQ_weighted,PTAC5EMLO_PTQ_weighted,PTAC5EMAV_PTQ_weighted,PTAC5EMHI_PTQ_weighted,PTEBACMAT_PTQ_weighted,PTEBACENG_PTQ_weighted,PTEBACC_PTQ_weighted,PTEBACC_FSM_PTQ_weighted,PTEBACC_NFSM_PTQ_weighted,PTEBACCLO_PTQ_weighted,PTEBACCAV_PTQ_weighted,PTEBACCHI_PTQ_weighted,PT24ENGPRG_PTQ_weighted,PT24ENGPRGLO_PTQ_weighted,PT24ENGPRGAV_PTQ_weighted,PT24ENGPRGHI_PTQ_weighted,PT24MATHPRG_PTQ_weighted,PT24MATHPRGLO_PTQ_weighted,PT24MATHPRGAV_PTQ_weighted,PT24MATHPRGHI_PTQ_weighted,B8VAMEA_PTQ_weighted,B8VAMEA_FSM_PTQ_weighted,B8VAMEA_NFSM_PTQ_weighted,B8VAMEA_LO_PTQ_weighted,B8VAMEA_AV_PTQ_weighted,B8VAMEA_HI_PTQ_weighted,KS2APS_weighted,PTFSMCLA_weighted,TTAPSPEPP_PTQ_weighted,EstablishmentGroup
LA,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of London,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH,202.0,100053.0,Acland Burghley School,NW5 1UJ,176.0,28.4,13.0,97.0,59.0,97.0,55.0,79.0,65.0,59.0,62.0,61.0,69.0,23.0,57.0,68.0,57.0,8.0,44.0,86.0,101.0,34.0,66.0,69.0,986.7,1008.8,986.7,981.9,42.0,43.0,59.0,75.0,3.0,52.0,42.0,46.0,71.0,0.0,21.0,61.0,21.0,51.0,975.4,1001.7,38.8,Not applicable,,Community School,Camden,London,101.0,42.0,59.0,1.04,42.68,50.74,121.44000000000001,116.16000000000001,34.34,9.3702,28.6059,0.0,10.92,25.62,114.4,8.06,59.17,40.71,103.83999999999999,2.99,55.290000000000006,40.120000000000005,173659.2,94613.8,79134.3,13114.4,95709.90000000001,57932.1,4998.4,97.0,6828.799999999999,LA maintained schools
SCH,202.0,100054.0,The Camden School for Girls,NW5 2DB,112.0,29.1,7.0,48.0,51.0,56.0,50.0,56.0,80.0,78.0,43.0,69.0,94.0,71.0,67.0,88.0,76.0,14.0,63.0,94.0,64.0,50.0,83.0,81.0,996.8,969.5,986.9,1009.8,35.0,63.0,50.0,89.0,0.0,18.0,42.0,39.0,75.0,0.0,27.0,76.0,27.0,73.0,974.7,1021.6,44.5,Not applicable,,Voluntary Aided School,Camden,London,85.0,35.0,50.0,0.9800000000000001,30.240000000000002,47.940000000000005,90.72,92.96000000000001,32.0,5.896800000000001,30.66,0.0,4.86,31.92,89.60000000000001,3.01,33.120000000000005,47.940000000000005,87.36,4.97,32.160000000000004,44.88,111641.59999999999,54583.200000000004,57209.6,6786.5,47371.2,51499.799999999996,3259.2000000000003,56.0,4984.0,LA maintained schools
SCH,202.0,100052.0,Hampstead School,NW2 3RT,199.0,27.4,36.0,106.0,47.0,112.0,56.0,87.0,60.0,78.0,47.0,59.0,70.0,58.0,77.0,94.0,53.0,17.0,51.0,89.0,103.0,27.0,62.0,73.0,1001.6,1035.5,993.7,993.2,53.0,47.0,53.0,61.0,10.0,53.0,37.0,42.0,64.0,8.0,19.0,62.0,18.0,38.0,993.1,1012.6,38.2,Not applicable,,Community School,Camden,London,106.0,53.0,53.0,6.12,54.06,41.83,145.27,123.38,27.810000000000002,8.4672,21.1584,0.8,10.07,22.94,119.39999999999999,16.92,62.54,32.900000000000006,155.22,20.88,81.62,44.18,199318.4,111227.2,88096.2,37278.0,105332.20000000001,46680.4,5452.599999999999,112.0,7601.8,LA maintained schools
SCH,202.0,100049.0,Haverstock School,NW3 2BQ,202.0,26.7,39.0,98.0,43.0,134.0,66.0,68.0,80.0,67.0,69.0,90.0,77.0,41.0,77.0,70.0,54.0,8.0,66.0,77.0,32.0,10.0,70.0,65.0,996.9,1015.5,1008.8,952.7,71.0,53.0,38.0,56.0,0.0,15.0,12.0,13.0,21.0,0.0,10.0,21.0,10.0,10.0,1001.2,987.4,35.9,Not applicable,,Community School,Camden,London,109.0,71.0,38.0,3.12,64.68,33.11,131.3,141.4,3.2,1.7420000000000002,1.428,0.0,1.5,2.52,161.60000000000002,26.910000000000004,88.2,33.11,135.34,15.990000000000002,75.46000000000001,30.1,201373.8,134160.80000000002,67143.2,39604.5,98862.4,40966.1,5393.4,134.0,7251.799999999999,LA maintained schools
SCH,202.0,100059.0,La Sainte Union Catholic Secondary School,NW5 1RP,170.0,29.0,12.0,76.0,77.0,50.0,29.0,120.0,92.0,76.0,83.0,91.0,94.0,17.0,74.0,86.0,81.0,8.0,76.0,97.0,83.0,38.0,91.0,81.0,1033.8,1060.9,1043.7,1019.8,39.0,78.0,99.0,83.0,1.0,34.0,45.0,46.0,50.0,0.0,32.0,49.0,30.0,42.0,1027.1,1036.7,44.5,Not applicable,,Voluntary Aided School,Camden,London,138.0,39.0,99.0,0.96,57.76,74.69,137.70000000000002,154.70000000000002,31.54,6.8999999999999995,25.2,0.0,10.88,22.05,156.4,9.96,69.16,72.38000000000001,129.2,2.04,56.24,66.22,175746.0,51354.99999999999,124404.0,12730.800000000001,79321.2,78524.59999999999,4930.0,50.0,7565.0,LA maintained schools
SCH,202.0,100055.0,Maria Fidelis Roman Catholic Convent School FCJ,NW1 1TA,104.0,27.2,15.0,62.0,18.0,63.0,61.0,41.0,77.0,75.0,73.0,76.0,94.0,40.0,81.0,83.0,61.0,13.0,63.0,94.0,24.0,16.0,70.0,72.0,1021.1,1018.8,1026.9,1003.0,34.0,54.0,29.0,71.0,0.0,10.0,12.0,17.0,32.0,0.0,8.0,56.0,13.0,22.0,1012.4,1035.5,39.4,Not applicable,,Voluntary Aided School,Camden,London,63.0,34.0,29.0,1.9500000000000002,39.06,16.92,74.88,72.80000000000001,3.84,1.3923,2.8864,0.0,0.8,6.720000000000001,80.08,10.95,47.12,16.92,78.0,6.0,50.220000000000006,14.940000000000001,106194.40000000001,63781.2,42455.5,15282.0,63667.8,18054.0,2828.7999999999997,63.0,4097.599999999999,LA maintained schools
SCH,202.0,100050.0,Parliament Hill School,NW5 1RL,177.0,28.4,13.0,89.0,65.0,100.0,56.0,77.0,82.0,69.0,69.0,79.0,88.0,23.0,64.0,83.0,67.0,8.0,55.0,94.0,79.0,32.0,82.0,69.0,1027.8,1042.5,1034.8,1015.4,61.0,61.0,57.0,74.0,1.0,36.0,39.0,40.0,51.0,0.0,21.0,55.0,26.0,40.0,1022.9,1034.8,42.8,Not applicable,,Community School,Camden,London,118.0,61.0,57.0,1.04,48.95,61.1,122.13000000000001,145.14000000000001,25.28,10.4,15.708000000000002,0.0,7.56,21.450000000000003,145.14000000000001,8.97,70.31,57.2,122.13000000000001,2.99,56.96,53.95,181920.6,102290.0,79679.59999999999,13552.5,92097.2,66001.0,5026.8,100.0,7575.599999999999,LA maintained schools
SCH,202.0,100051.0,Regent High School,NW1 1RG,115.0,25.9,23.0,67.0,13.0,94.0,82.0,21.0,74.0,69.0,52.0,84.0,85.0,35.0,78.0,85.0,49.0,9.0,58.0,85.0,28.0,8.0,64.0,65.0,1012.8,1034.4,1014.7,965.4,48.0,51.0,8.0,38.0,3.0,18.0,6.0,28.0,10.0,0.0,6.0,38.0,9.0,5.0,1020.7,975.8,35.9,Not applicable,,Community School,Camden,London,56.0,48.0,8.0,2.07,38.86,11.049999999999999,74.75,73.60000000000001,2.24,2.3688000000000002,0.10500000000000001,0.0,1.08,2.2800000000000002,85.1,11.96,56.28,11.049999999999999,79.35000000000001,8.05,52.260000000000005,11.049999999999999,116472.0,95945.8,20491.8,23791.2,67984.90000000001,12550.199999999999,2978.5,94.0,4128.5,LA maintained schools
SCH,202.0,137181.0,The UCL Academy,NW3 3AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a trust/single academy trust,"UCL Academy, The",Academy Sponsor Led,Camden,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academies
SCH,202.0,100056.0,William Ellis School,NW5 1RN,117.0,28.0,17.0,59.0,36.0,68.0,58.0,49.0,84.0,70.0,82.0,81.0,89.0,35.0,64.0,92.0,66.0,18.0,61.0,92.0,72.0,41.0,77.0,74.0,998.8,984.2,1002.6,999.4,37.0,54.0,40.0,82.0,2.0,33.0,34.0,49.0,80.0,0.0,27.0,83.0,25.0,63.0,982.8,1022.5,40.3,Not applicable,,Voluntary Aided School,Camden,London,77.0,37.0,40.0,3.06,35.99,33.120000000000005,86.58,90.09,29.520000000000003,8.33,24.696,0.0,8.91,28.220000000000002,98.28,13.940000000000001,47.790000000000006,32.04,81.9,5.95,37.76,33.120000000000005,116859.59999999999,66830.4,50102.5,16731.4,59153.4,35978.4,3276.0,68.0,4715.099999999999,LA maintained schools
LA,202.0,,,,1410.0,27.5,202.0,709.0,410.0,806.0,57.2,604.0,74.7,69.0,56.2,75.2,83.9,35.1,70.1,82.7,60.5,9.9,58.3,90.5,586.0,27.4,71.8,70.2,,,,,420.0,52.1,433.0,71.7,20.0,269.0,269.0,32.9,53.1,1.5,18.5,56.6,17.7,40.2,,,39.0,,,,Camden,London,853.0,420.0,433.0,19.998,413.347,371.05,989.82,1012.38,160.564,46.935798000000005,128.931048,0.3,49.765,152.25400000000002,1053.27,113.52400000000002,533.168,343.99,972.9000000000001,70.902,497.00899999999996,339.07000000000005,,,,,,,38775.0,806.0,54990.0,
