,LEA_CODE,LEA_NAME,LEA_REGION,PTAC5EM_PTQ_eduvis,PTAC5EMFSM_PTQ_eduvis,PTAC5EMNFSM_PTQ_eduvis,PTAC5EMLO_PTQ_eduvis,PTAC5EMAV_PTQ_eduvis,PTAC5EMHI_PTQ_eduvis,PTEBACMAT_PTQ_eduvis,PTEBACENG_PTQ_eduvis,PTEBACC_PTQ_eduvis,PTEBACC_FSM_PTQ_eduvis,PTEBACC_NFSM_PTQ_eduvis,PTEBACCLO_PTQ_eduvis,PTEBACCAV_PTQ_eduvis,PTEBACCHI_PTQ_eduvis,PT24ENGPRG_PTQ_eduvis,PT24ENGPRGLO_PTQ_eduvis,PT24ENGPRGAV_PTQ_eduvis,PT24ENGPRGHI_PTQ_eduvis,PT24MATHPRG_PTQ_eduvis,PT24MATHPRGLO_PTQ_eduvis,PT24MATHPRGAV_PTQ_eduvis,PT24MATHPRGHI_PTQ_eduvis,B8VAMEA_PTQ_eduvis,B8VAMEA_FSM_PTQ_eduvis,B8VAMEA_NFSM_PTQ_eduvis,B8VAMEA_LO_PTQ_eduvis,B8VAMEA_AV_PTQ_eduvis,B8VAMEA_HI_PTQ_eduvis,TTAPSPEPP_PTQ_eduvis,PTAC5EM_PTQ_dfe,PTAC5EMFSM_PTQ_dfe,PTAC5EMNFSM_PTQ_dfe,PTAC5EMLO_PTQ_dfe,PTAC5EMAV_PTQ_dfe,PTAC5EMHI_PTQ_dfe,PTEBACMAT_PTQ_dfe,PTEBACENG_PTQ_dfe,PTEBACC_PTQ_dfe,PTEBACC_FSM_PTQ_dfe,PTEBACC_NFSM_PTQ_dfe,PTEBACCLO_PTQ_dfe,PTEBACCAV_PTQ_dfe,PTEBACCHI_PTQ_dfe,PT24ENGPRG_PTQ_dfe,PT24ENGPRGLO_PTQ_dfe,PT24ENGPRGAV_PTQ_dfe,PT24ENGPRGHI_PTQ_dfe,PT24MATHPRG_PTQ_dfe,PT24MATHPRGLO_PTQ_dfe,PT24MATHPRGAV_PTQ_dfe,PT24MATHPRGHI_PTQ_dfe,B8VAMEA_PTQ_dfe,B8VAMEA_FSM_PTQ_dfe,B8VAMEA_NFSM_PTQ_dfe,B8VAMEA_LO_PTQ_dfe,B8VAMEA_AV_PTQ_dfe,B8VAMEA_HI_PTQ_dfe,TTAPSPEPP_PTQ_dfe,PTAC5EM_PTQ_VARIANCE,PTAC5EMFSM_PTQ_VARIANCE,PTAC5EMNFSM_PTQ_VARIANCE,PTAC5EMLO_PTQ_VARIANCE,PTAC5EMAV_PTQ_VARIANCE,PTAC5EMHI_PTQ_VARIANCE,PTEBACMAT_PTQ_VARIANCE,PTEBACENG_PTQ_VARIANCE,PTEBACC_PTQ_VARIANCE,PTEBACC_FSM_PTQ_VARIANCE,PTEBACC_NFSM_PTQ_VARIANCE,PTEBACCLO_PTQ_VARIANCE,PTEBACCAV_PTQ_VARIANCE,PTEBACCHI_PTQ_VARIANCE,PT24ENGPRG_PTQ_VARIANCE,PT24ENGPRGLO_PTQ_VARIANCE,PT24ENGPRGAV_PTQ_VARIANCE,PT24ENGPRGHI_PTQ_VARIANCE,PT24MATHPRG_PTQ_VARIANCE,PT24MATHPRGLO_PTQ_VARIANCE,PT24MATHPRGAV_PTQ_VARIANCE,PT24MATHPRGHI_PTQ_VARIANCE,B8VAMEA_PTQ_VARIANCE,B8VAMEA_FSM_PTQ_VARIANCE,B8VAMEA_NFSM_PTQ_VARIANCE,B8VAMEA_LO_PTQ_VARIANCE,B8VAMEA_AV_PTQ_VARIANCE,B8VAMEA_HI_PTQ_VARIANCE,TTAPSPEPP_PTQ_VARIANCE
87,392,North Tyneside,North East,59.93200583,38.94927536,67.61778368,5.585365854,53.24698236,90.85137085,70.83831776,69.18971963,28.55242567,1.161594203,13.02339084,0.017421603,3.778087279,30.61327561,71.77149533,57.4738676,73.02414113,80.75180375,66.05981308,27.27874564,66.17548747,79.60894661,100145.5658,98242.40942,100839.9668,100570,100339.3593,99652.14178,4051.565421,56.2,36.6,63.3,4.8,52.8,90.8,69,67.4,19.9,5.3,25.2,0.6,10.6,45.1,69.9,49.1,72.5,80.7,64.2,23.5,66.2,79.5,,,,,,,39.6,-3.732005828,-2.349275362,-4.317783676,-0.785365854,-0.446982358,-0.051370851,-1.838317757,-1.789719626,-8.652425665,4.138405797,12.17660916,0.582578397,6.821912721,14.48672439,-1.871495327,-8.373867596,-0.524141133,-0.051803752,-1.859813084,-3.778745645,0.024512535,-0.108946609,,,,,,,-4011.965421
48,205,Hammersmith and Fulham,London,68.57142857,53.71179039,80.06756757,11.54471545,63.3,95.87399464,77.1247619,76.96,44.31612903,13.70740175,36.55141892,0.650406504,16.07446809,57.29758713,79.89904762,59.71544715,75.22553191,92.54423592,77.42571429,41.96747967,75.44255319,90.89008043,102184.8952,101186.9214,103053.8345,103024.0171,102233.3617,102314.2091,4230.247619,65.6,50,78.3,8.6,62.7,96,74.1,73.9,37.6,23,49.6,1.2,26.1,70,77.5,49.7,75.2,92.5,74.5,34.6,75.2,90.9,,,,,,,41.5,-2.971428571,-3.711790393,-1.767567568,-2.944715447,-0.6,0.126005362,-3.024761905,-3.06,-6.716129032,9.292598253,13.04858108,0.549593496,10.02553191,12.70241287,-2.399047619,-10.01544715,-0.025531915,-0.044235925,-2.925714286,-7.367479675,-0.242553191,0.009919571,,,,,,,-4188.747619
138,212,Wandsworth,London,61.91616766,48.64864865,71.56153051,13.66666667,54.94041451,92.98747764,74.29341317,73.83413174,37.61986301,11.31231863,27.32154085,0.047619048,10.65673575,55.29338104,77.98982036,64.58730159,75.11528497,87.4686941,73.71616766,41.95767196,71.42098446,86.82647585,101530.3593,100291.4367,102498.211,103426.2963,101652.2668,100809.7317,4089.778443,59.1,45.1,69.8,10.1,54.9,93,71.1,70.4,31.2,20,39.7,0.4,18.9,65.5,74.9,49.2,74.9,87.7,70.2,31.5,71.2,86.6,,,,,,,39.3,-2.816167665,-3.548648649,-1.761530507,-3.566666667,-0.040414508,0.012522361,-3.193413174,-3.434131737,-6.419863014,8.687681366,12.37845915,0.352380952,8.243264249,10.20661896,-3.089820359,-15.38730159,-0.215284974,0.231305903,-3.516167665,-10.45767196,-0.220984456,-0.22647585,,,,,,,-4050.478443
115,393,South Tyneside,North East,56.50557621,38,67.4556213,7.690721649,47.43130631,91.39105058,65.44547708,73.93804213,24.47697368,1.9164,14.59163708,0,3.504504505,32.55252918,73.54894672,57.70103093,70.7972973,84.27237354,58.7936803,25.97938144,56.16891892,76.04669261,99902.74473,97372.53333,101404.1519,100921.134,99878.32207,99624.22179,3973.054523,54,35,66.1,6.1,46.4,91.4,63,70.6,17.5,6.3,24.6,0,8,43.2,70.7,47.5,69.5,84.4,56.7,21,55.6,76.1,,,,,,,38.7,-2.505576208,-3,-1.355621302,-1.590721649,-1.031306306,0.008949416,-2.445477076,-3.338042131,-6.976973684,4.3836,10.00836292,0,4.495495495,10.64747082,-2.848946716,-10.20103093,-1.297297297,0.127626459,-2.093680297,-4.979381443,-0.568918919,0.053307393,,,,,,,-3934.354523
67,208,Lambeth,London,59.4367885,53.34900118,65.77017115,12.55350554,57.35571878,93.52643172,70.62240896,73.80504202,28.92207792,11.52722679,20.40707824,0.391143911,10.44910808,51.84801762,79.89579832,72.61623616,77.41657922,88.59030837,70.74733894,48.81918819,71.7366212,81.6123348,101726.381,101317.074,102038.0318,104438.3395,101738.8877,99924.03084,3964.834734,57,50.5,65,10.5,57.3,93.6,68.5,71.5,27,21.6,33.6,1.2,19.7,61.7,77.5,62,77.2,88.5,68.6,41.4,71.5,81.7,,,,,,,38.8,-2.436788496,-2.849001175,-0.770171149,-2.053505535,-0.055718783,0.073568282,-2.122408964,-2.305042017,-1.922077922,10.07277321,13.19292176,0.808856089,9.25089192,9.851982379,-2.395798319,-10.61623616,-0.216579224,-0.09030837,-2.147338936,-7.419188192,-0.236621196,0.087665198,,,,,,,-3926.034734
98,851,Portsmouth,South East,53.16529894,37.5984252,59.76627713,7.562091503,50.99677072,91.72727273,64.69695193,64.77198124,24.3044164,1.985846457,12.5540985,0,4.727664155,44.22248804,68.24618992,49.16339869,67.78794403,82.21291866,61.60609613,25.48039216,63.60925727,81.79425837,99389.94725,97205.49213,100324.6661,99606.99346,99366.42626,99196.45933,3742.491208,50.8,34.2,58.4,6.7,50.1,91.6,62.3,62,20.3,8.2,25.8,0,12.2,56.6,65.3,43,66.5,82.1,59.6,24.6,62.6,81.9,,,,,,,36.3,-2.365298945,-3.398425197,-1.366277129,-0.862091503,-0.896770721,-0.127272727,-2.396951934,-2.771981243,-4.004416404,6.214153543,13.2459015,0,7.472335845,12.37751196,-2.946189918,-6.163398693,-1.287944026,-0.11291866,-2.006096131,-0.880392157,-1.009257266,0.105741627,,,,,,,-3706.191208
10,837,Bournemouth,South West,63.10794781,40.68627451,70.26604069,6.120171674,57.39694656,94.5198556,71.15480427,78.50474496,42.22762951,3.555416667,20.52928795,0,4.002544529,42.9368231,81.12158956,67.44206009,79.65521628,88.55595668,69.52016607,25.84978541,68.48346056,86.55234657,100735.6762,98162.15686,101568.7246,100498.4549,100830.9669,100598.4477,4024.584816,61.1,37.7,69,5.2,56.7,94.1,69,76.2,25.1,7.7,31,0,10.4,56.6,78.7,58.7,78.1,88,67.4,22.5,67.5,86.2,,,,,,,39.3,-2.007947805,-2.98627451,-1.266040689,-0.920171674,-0.696946565,-0.419855596,-2.15480427,-2.304744958,-17.12762951,4.144583333,10.47071205,0,6.397455471,13.6631769,-2.421589561,-8.742060086,-1.555216285,-0.555956679,-2.120166074,-3.349785408,-0.98346056,-0.35234657,,,,,,,-3985.284816
132,880,Torbay,South West,58.48400556,37.52969121,67.15830875,2.624338624,42.29969419,95.92687386,65.25452017,80.20305981,57.6402439,6.492042755,25.24520157,0.021164021,3.432721713,46.35283364,80.64534075,61.00529101,78.49847095,89.54113346,60.35674548,8.507936508,52.94648318,85.31627057,99773.1363,97237.36342,100811.2684,99597.30159,99263.74618,100393.6197,3994.33936,56.6,35.1,66,2.2,42.2,96,63.6,77.8,25.2,10.4,31.6,0.4,6.4,57,78.7,52.4,78.2,89.6,58.9,8.4,53,85.2,,,,,,,39.2,-1.884005563,-2.429691211,-1.158308751,-0.424338624,-0.09969419,0.073126143,-1.654520167,-2.403059805,-32.4402439,3.907957245,6.354798427,0.378835979,2.967278287,10.64716636,-1.945340751,-8.605291005,-0.298470948,0.058866545,-1.45674548,-0.107936508,0.05351682,-0.116270567,,,,,,,-3955.13936
37,840,Durham,North East,59.46954813,41.27942064,68.2493446,4.392125984,51.24533234,92.82887078,69.31748527,74.73104126,27.74096386,3.322184671,18.63294203,0.012598425,4.254294249,46.8911525,75.99882122,56.11811024,74.42457058,85.76658906,62.26286837,25.16220472,61.00597461,77.81955763,99269.47544,97513.20459,100114.3897,99584.33071,99332.25915,99059.05704,4009.97446,57.6,38.3,67.5,3.7,50.7,92.8,67.1,72.4,23.8,9.5,31.1,0.1,9.8,56.2,73.6,46.6,73.8,85.7,60.4,21.3,60.4,77.9,,,,,,,39.2,-1.869548134,-2.97942064,-0.749344597,-0.692125984,-0.545332338,-0.02887078,-2.217485265,-2.331041257,-3.940963855,6.177815329,12.46705797,0.087401575,5.545705751,9.308847497,-2.398821218,-9.518110236,-0.624570575,-0.066589057,-1.862868369,-3.862204724,-0.605974608,0.080442375,,,,,,,-3970.77446
78,315,Merton,London,65.98951507,47.99154334,74.07407407,16.24056604,66.5879397,95.71883289,75.85648755,77.46068152,39.51321928,5.821014799,22.46983856,0.844339623,11.77386935,56.86737401,83.52817824,73.93396226,84.36683417,89.09549072,78.05242464,50.47641509,78.11055276,92.41114058,102231.4548,100069.26,103313.0674,103731.5566,102352.3367,101483.687,4083.36173,64.2,46,72.6,15,66.4,95.5,73.7,75.3,31.3,17,37.8,4.3,24.8,69,81.2,67.4,83.8,88.9,76.1,45.9,77.7,92.1,,,,,,,39.9,-1.789515072,-1.99154334,-1.474074074,-1.240566038,-0.187939698,-0.218832891,-2.156487549,-2.16068152,-8.213219285,11.1789852,15.33016144,3.455660377,13.02613065,12.13262599,-2.328178244,-6.533962264,-0.566834171,-0.195490716,-1.95242464,-4.576415094,-0.410552764,-0.311140584,,,,,,,-4043.46173
