LEA_CODE,LEA_NAME,LEA_REGION
301,Barking and Dagenham,London
302,Barnet,London
370,Barnsley,Yorkshire & Humberside
800,Bath and North East Somerset,South West
822,Bedford,Eastern England
303,Bexley,London
330,Birmingham,West Midlands
889,Blackburn with Darwen,North West
890,Blackpool,North West
350,Bolton,North West
837,Bournemouth,South West
867,Bracknell Forest,South East
380,Bradford,Yorkshire & Humberside
304,Brent,London
846,Brighton and Hove,South East
801,Bristol,South West
305,Bromley,London
825,Buckinghamshire,South East
351,Bury,North West
381,Calderdale,Yorkshire & Humberside
873,Cambridgeshire,Eastern England
202,Camden,London
823,Central Bedfordshire,Eastern England
895,Cheshire East,North West
896,Cheshire West and Chester,North West
201,City of London,London
908,Cornwall,South West
331,Coventry,West Midlands
306,Croydon,London
909,Cumbria,North West
841,Darlington,North East
831,Derby,East Midlands
830,Derbyshire,East Midlands
878,Devon,South West
371,Doncaster,Yorkshire & Humberside
835,Dorset,South West
332,Dudley,West Midlands
840,Durham,North East
307,Ealing,London
811,East Riding of Yorkshire,Yorkshire & Humberside
845,East Sussex,South East
308,Enfield,London
881,Essex,Eastern England
390,Gateshead,North East
916,Gloucestershire,South West
203,Greenwich,London
204,Hackney,London
876,Halton,North West
205,Hammersmith and Fulham,London
850,Hampshire,South East
309,Haringey,London
310,Harrow,London
805,Hartlepool,North East
311,Havering,London
884,Herefordshire,West Midlands
919,Hertfordshire,Eastern England
312,Hillingdon,London
313,Hounslow,London
921,Isle of Wight,South East
420,Isles of Scilly,South West
206,Islington,London
207,Kensington and Chelsea,London
886,Kent,South East
810,Kingston upon Hull,Yorkshire & Humberside
314,Kingston upon Thames,London
382,Kirklees,Yorkshire & Humberside
340,Knowsley,North West
208,Lambeth,London
888,Lancashire,North West
383,Leeds,Yorkshire & Humberside
856,Leicester,East Midlands
855,Leicestershire,East Midlands
209,Lewisham,London
925,Lincolnshire,East Midlands
341,Liverpool,North West
821,Luton,Eastern England
352,Manchester,North West
887,Medway,South East
315,Merton,London
806,Middlesbrough,North East
826,Milton Keynes,South East
391,Newcastle upon Tyne,North East
316,Newham,London
926,Norfolk,Eastern England
812,North East Lincolnshire,Yorkshire & Humberside
813,North Lincolnshire,Yorkshire & Humberside
802,North Somerset,South West
392,North Tyneside,North East
815,North Yorkshire,Yorkshire & Humberside
928,Northamptonshire,East Midlands
929,Northumberland,North East
892,Nottingham,East Midlands
891,Nottinghamshire,East Midlands
353,Oldham,North West
931,Oxfordshire,South East
874,Peterborough,Eastern England
879,Plymouth,South West
836,Poole,South West
851,Portsmouth,South East
870,Reading,South East
317,Redbridge,London
807,Redcar and Cleveland,North East
318,Richmond upon Thames,London
354,Rochdale,North West
372,Rotherham,Yorkshire & Humberside
857,Rutland,East Midlands
355,Salford,North West
333,Sandwell,West Midlands
343,Sefton,North West
373,Sheffield,Yorkshire & Humberside
893,Shropshire,West Midlands
871,Slough,South East
334,Solihull,West Midlands
933,Somerset,South West
803,South Gloucestershire,South West
393,South Tyneside,North East
852,Southampton,South East
882,Southend on Sea,Eastern England
210,Southwark,London
342,St Helens,North West
860,Staffordshire,West Midlands
356,Stockport,North West
808,Stockton-on-Tees,North East
861,Stoke-on-Trent,West Midlands
935,Suffolk,Eastern England
394,Sunderland,North East
936,Surrey,South East
319,Sutton,London
866,Swindon,South West
357,Tameside,North West
894,Telford and Wrekin,West Midlands
883,Thurrock,Eastern England
880,Torbay,South West
211,Tower Hamlets,London
358,Trafford,North West
384,Wakefield,Yorkshire & Humberside
335,Walsall,West Midlands
320,Waltham Forest,London
212,Wandsworth,London
877,Warrington,North West
937,Warwickshire,West Midlands
869,West Berkshire,South East
938,West Sussex,South East
213,Westminster,London
359,Wigan,North West
865,Wiltshire,South West
868,Windsor and Maidenhead,South East
344,Wirral,North West
872,Wokingham,South East
336,Wolverhampton,West Midlands
885,Worcestershire,West Midlands
816,York,Yorkshire & Humberside
