Address,Latitude,Longitude,Easting,Northing
NW5 1UJ,51.557397,-0.139651,529065,185919
NW5 2DB,51.545979,-0.134708,529440,184658
NW2 3RT,51.555874,-0.206979,524402,185633
NW3 2BQ,51.544842,-0.154354,528081,184497
NW5 1RP,51.559998,-0.149441,528379,186191
NW1 1TA,51.530605,-0.132078,529666,182953
NW5 1RL,51.558446,-0.149649,528369,186018
NW1 1RG,51.533738,-0.133954,529527,183298
NW3 3AQ,51.541591,-0.172382,526840,184104
NW5 1RN,51.558699,-0.150287,528324,186045
SE3 8SY,51.475952,0.027405,540896,177170
SE3 8EP,51.469735,0.042608,541971,176508
SE9 2QN,51.453328,0.0756,544314,174748
SE9 5EE,51.450912,0.045783,542250,174421
SE18 4LH,51.471959,0.052758,542669,176775
SE9 5EQ,51.451382,0.039414,541806,174461
SE3 7UD,51.478632,0.007031,539473,177429
SE18 1QF,51.481909,0.084617,544850,177944
SE2 9PX,51.492687,0.104009,546162,179181
SE9 2SU,51.446852,0.062397,543417,174002
SE10 8HN,51.475784,-0.00581,538590,177088
SE3 9PX,51.466088,0.026277,540848,176071
SE7 8LJ,51.492421,0.044299,542018,179034
SE28 8AT,51.503543,0.1084,546432,180397
E2 8BA,51.53557,-0.072136,533809,183613
E9 6LG,51.547041,-0.047407,535490,184934
E9 6EA,51.54873,-0.048935,535379,185119
E5 0RB,51.554239,-0.052017,535149,185726
N1 5AA,51.538782,-0.077697,533414,183960
N1 6HQ,51.530733,-0.079304,533326,183062
E2 8LS,51.532447,-0.07198,533829,183266
N16 5RP,51.572234,-0.073298,533621,187688
E5 8JY,51.551105,-0.062061,534462,185359
E9 7HD,51.538446,-0.043794,535766,183985
N16 5AF,51.574385,-0.075589,533456,187923
E8 2EY,51.551706,-0.071743,533789,185408
N4 1SY,51.573256,-0.091236,532375,187769
N16 9EX,51.557887,-0.084609,532879,186072
E9 6NR,51.544391,-0.053015,535109,184629
N16 6UB,51.57352,-0.068366,533959,187840
W12 0HR,51.518955,-0.229718,522925,181489
W14 9LY,51.488779,-0.204455,524760,178176
SW6 6SN,51.477783,-0.215227,524042,176935
SW6 6BP,51.481355,-0.214166,524106,177334
W12 9JD,51.50165,-0.234898,522612,179556
SW6 3ED,51.467821,-0.196524,525368,175859
SW6 4UN,51.474182,-0.199643,525134,176561
SW6 1RX,51.486233,-0.196216,525339,177907
W12 0RQ,51.513088,-0.237843,522377,180823
W6 7DG,51.493581,-0.223354,523435,178678
W6 0LB,51.494771,-0.230713,522921,178798
EC2A 4SH,51.525256,-0.085849,532888,182441
N1 8PQ,51.535658,-0.098462,531983,183575
N1 9QG,51.532917,-0.113571,530943,183243
N5 1AR,51.552803,-0.101526,531721,185476
N5 2EQ,51.549002,-0.097805,531990,185060
N7 0JG,51.553027,-0.129472,529783,185451
N4 3LS,51.567072,-0.115895,530684,187037
N19 3EU,51.567824,-0.129731,529723,187096
N6 5LY,51.570055,-0.138831,529086,187328
N7 8PG,51.547657,-0.109745,531166,184889
W14 8BZ,51.503889,-0.211743,524213,179844
SW10 0AB,51.477972,-0.183005,526279,177011
W8 7AF,51.505224,-0.200797,524969,180011
W10 6EX,51.514313,-0.21599,523890,180996
SW3 2QS,51.492898,-0.162157,527685,178707
W10 6EL,51.520987,-0.214274,523991,181741
SE11 5SR,51.482499,-0.116027,530917,177632
SW16 2HY,51.424972,-0.118739,530893,171230
SW2 3PW,51.442143,-0.113933,531178,173148
SW16 2QB,51.433597,-0.121593,530670,172184
SW9 0RD,51.47485,-0.115651,530965,176782
SE27 9BZ,51.438563,-0.10385,531889,172768
SE24 0QN,51.460648,-0.10436,531790,175223
SW12 0AB,51.44773,-0.142802,529156,173718
SW4 9ET,51.45741,-0.141401,529226,174797
SE11 5QY,51.486196,-0.119418,530671,178037
SE1 9NA,51.506439,-0.108296,531385,180308
SE19 3NY,51.42273,-0.098493,532307,171017
SE1 7HS,51.498382,-0.111641,531176,179406
SW9 0AL,51.473654,-0.119617,530693,176642
SW9 6UL,51.475817,-0.102032,531908,176914
SW2 3UP,51.444152,-0.109705,531466,173379
SW2 1QS,51.456532,-0.119572,530745,174738
SE14 6TJ,51.474885,-0.027046,537118,176948
BR1 5PZ,51.427684,-0.001705,539021,171747
SE6 2SE,51.433495,-0.011321,538335,172375
SE14 6LU,51.478106,-0.036801,536431,177288
SE23 2XN,51.431959,-0.047757,535807,172136
SE14 5SF,51.467333,-0.043267,536014,176078
BR1 5EB,51.428047,0.016984,540319,171823
SE4 1SA,51.451702,-0.029773,536998,174365
SE13 7BN,51.463629,-0.015496,537954,175718
SE4 1LE,51.459471,-0.025998,537237,175236
SE3 0XX,51.46421,0.000049,539032,175812
SE6 3QW,51.422687,-0.023052,537552,171151
SE26 4RD,51.434235,-0.059198,535005,172368
SE12 8PD,51.455228,0.007285,539562,174827
SE5 0UB,51.478034,-0.099592,532071,177165
SE1 6AG,51.49559,-0.09029,532666,179134
SE16 6AT,51.501946,-0.041122,536060,179931
SE24 9JH,51.456411,-0.089292,532849,174779
SE1 5LA,51.48928,-0.064698,534461,178479
SE16 4EE,51.498363,-0.063117,534544,179492
SE16 3TZ,51.493607,-0.07189,533949,178947
SE15 5DZ,51.473778,-0.074051,533857,176738
SE22 0AT,51.456613,-0.065446,534505,174845
SE22 0NR,51.458,-0.054707,535247,175019
SE21 8SQ,51.432321,-0.085017,533216,172108
SE1 6EX,51.49698,-0.106138,531562,179260
SE5 0RP,51.476288,-0.098945,532121,176972
SE16 4UN,51.499516,-0.067549,534233,179612
SE1 4AN,51.494665,-0.087592,532856,179036
SE15 2EB,51.471251,-0.05662,535075,176489
SE17 2TP,51.487911,-0.089272,532759,178282
SE1 5UJ,51.487425,-0.078763,533490,178247
E2 6NW,51.527431,-0.070404,533953,182711
E1 0LB,51.513459,-0.049362,535454,181196
E1 0LB,51.513459,-0.049362,535454,181196
E3 2QD,51.528866,-0.021109,537368,182962
E3 2AT,51.527847,-0.027857,536903,182836
E14 3DW,51.488514,-0.007141,538459,178501
